#Material, Thickness (Ang), Material_id
B4H24Li4O4, 2.748509407043457 , 1b3cd221-b61a-4b49-bfe8-e036d978e1f5
Br2La, 6.658018589019775 , 6a2f09d5-2720-494e-80d1-7151cdcf500b
C8Co2H12O12, 3.0325441360473633 , 2a1ec672-e724-4ad0-8bbe-3a755ae6351e
I2Mn2Sb2Se4, 6.881736755371094 , 42dc525f-d546-454d-92df-c1199bd299b8
C16CoH12N8, 3.226520538330078 , ad2d6582-381f-4d1c-89e8-692a7302f96d
Ag2N6, 3.467085838317871 , 22295234-2bb2-48de-8d0b-52f59ca573e2
Br2C2La2, 4.133751392364502 , 85ea07d1-a469-48cd-a76d-30d2cfda4db6
Br2La2O2, 5.24721097946167 , d8ea21ef-dd9c-43ff-b4ae-4f4d55049da3
NbSe2, 6.657764911651611 , 3cbd50a0-9a62-4fed-91c4-7d034502af5f
Ir2P2, 3.265766143798828 , 1bbfaff3-a56b-4c54-8ba6-4c0219f68815
Br2Zn, 6.240757942199707 , 8f15c4f9-dcfe-49c4-9259-c80d1f8f0bf1
BaCl2O8, 7.033352375030518 , cff9d4f7-b56e-4a32-a688-1276c49f661c
As4Ga2K4Na2, 3.0327014923095703 , c47c8f11-d5dc-4bd0-8719-0fd1598bc75d
K4S10, 6.269195556640625 , 97eed324-f4d8-4b8f-9a19-2f85321773e9
Cl2Cu4H6O6, 2.875124454498291 , e3eb64b1-de18-4223-8f28-bdc638e5fe2e
Br6Tb2, 7.065145969390869 , 2e9366dd-bf64-42f8-b515-b476298fd1a3
O10V4, 4.246895790100098 , ae9a9302-87dd-4da4-b060-dea91957a4d7
Ni4Ta2Te6, 7.525848388671875 , c64441da-76e3-40df-a965-ef6f53f299d6
Cl4Cu4H4O4, 3.1226911544799805 , e26a9bd3-9113-4f21-a854-2e4ef5f63979
Bi2Ga2In4S12, 8.27799129486084 , a1860828-e49b-428c-a58b-fc253eeec7ac
Cl10H6Ir2K4N2, 6.308529853820801 , 67866f7b-7dae-4c36-8576-b7da1cc8723f
Cl6IrN4, 7.912121772766113 , 1a21b5b4-f59a-486f-9a42-69aae6a6f3a1
F4K4O10P4, 7.426633358001709 , 7f7c0165-909c-4618-b2cb-cf9a2eff1467
CoH2O2, 2.9105687141418457 , f2bbd535-2f66-40de-8310-65698a5c971d
O16S4Sn4, 5.332563400268555 , b83367f6-25bc-46a7-b040-7ea3a654ce19
Te2Zn, 9.162001609802246 , 3f046c5c-e1ae-4e41-bab0-0b08208699bd
F10K2N2O2Os2, 7.293778896331787 , ce29dfcd-c50a-4398-bc26-1b5cdd8cca4f
C12Cd2N10S4, 3.593136787414551 , 30eb0040-f61b-48a1-a71e-01989731be9c
Ge2K4Se6, 6.377263069152832 , 35ed7585-8cda-4c8a-b095-fda1f4dd30a4
C4Cu2H8N16O4, 3.3278870582580566 , e961380c-3a8e-49c0-ab61-6d53baa3c5f1
Gd2O2S4Sb2, 6.727701663970947 , b11fbc52-b1e0-4de2-95b1-6ebeb93a5f54
AgBrO2, 4.657171249389648 , 3f430386-44e1-43bf-a3bf-cec5c06fe39c
F8O2PbV2, 7.900387763977051 , 0d029aa8-a7d9-46dd-985d-5189840711e4
O8Te4, 5.359941005706787 , 92d3f642-3cdc-4d91-8130-42320b9adfb8
Co2K4Se4, 3.388000965118408 , f80ce4b2-2c47-4836-8c0e-4f7959cfde99
Br2Mn, 6.525493144989014 , 16c8fe1d-9a63-4801-ac70-62c5e76d3ef3
FeSe2, 6.5398430824279785 , cbc674a5-7ffb-4b7b-bc17-f90198da9e30
Br28Ta12, 9.500204086303711 , 97063c53-3aa4-4572-9797-b5c2a313d135
Ba4Si2Te8, 10.19235610961914 , 02187179-4b1b-4a02-a4ab-9ca8b06c5cc0
LiS4Ti2, 6.306605339050293 , d14dc74d-e241-4cab-a1d6-c2cdd9f359d2
C8F18K2O6S2, 8.050790786743164 , e4e98754-ceda-46d9-b885-4123500ff80f
Co2O16Se4, 6.079612731933594 , 076f8637-4b45-4b30-85b6-a51b7a5930e9
Fe3O14S2, 7.627237319946289 , 9ae673c7-4b5e-46cc-93ce-92cf6b084aae
Cr2O4, 4.068906784057617 , 587afca4-cbd5-4323-bf4d-22ed4f691c33
C8CuH14O8P2, 2.948361873626709 , a3014aa1-b97f-457c-acf8-efb09f1c187f
Ca2H12O14P4, 3.351083278656006 , c25b51b3-270f-4f13-8bb6-c25aa9adc6bd
F2Ho2Se2, 6.633570671081543 , c69307e0-643a-4efa-b968-21c7e6de5a69
O2S4Sb2Sm2, 6.739847660064697 , 3ebcf5bb-7d77-48de-be42-120021c3b226
